repeat	subject_type	subject_id	source_rich_table	smpl	org	genomes	iter	rank	TAREAN_annotation	cons_len	size_pct	pdiv_mean	pdiv_median	pdiv_q05	pdiv_q95
SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	comparative	KA1_KA2	projects/triticeae_F21FTSEUHT1241/comparative/KA1_KA2/post_tarean/satminer/report/rich_table.tsv	KA1_KA2			1	1	Putative satellites (high confidence)	376	0.15	3.43013698630137	2.7	0.0	6.7
SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	comparative	KA1_KA2	projects/triticeae_F21FTSEUHT1241/comparative/KA1_KA2/post_tarean/satminer/report/rich_table.tsv	KA1_KA2			1	1	Putative satellites (high confidence)	336	0.11	8.99056603773585	7.9	2.3200000000000003	18.08
SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL1_TR_1_x_118nt	comparative	KA1_KA2	projects/triticeae_F21FTSEUHT1241/comparative/KA1_KA2/post_tarean/satminer/report/rich_table.tsv	KA1_KA2			1	1	Putative satellites (high confidence)	118	2.66	9.350112866817156	9.1	2.6	16.95999999999999
SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=2|ORIG=CL124_TR_1_x_171nt	comparative	KA1_KA2	projects/triticeae_F21FTSEUHT1241/comparative/KA1_KA2/post_tarean/satminer/report/rich_table.tsv	KA1_KA2			1	2	Putative satellites (low confidence)	171	0.1	8.729411764705882	5.3	0.0	21.9
SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=2|ORIG=CL91_TR_1_x_333nt	comparative	KA1_KA2	projects/triticeae_F21FTSEUHT1241/comparative/KA1_KA2/post_tarean/satminer/report/rich_table.tsv	KA1_KA2			1	2	Putative satellites (low confidence)	333	0.14	7.514285714285714	6.05	1.945	17.414999999999996
SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=4|ORIG=CL135_TR_1_x_489nt	comparative	KA1_KA2	projects/triticeae_F21FTSEUHT1241/comparative/KA1_KA2/post_tarean/satminer/report/rich_table.tsv	KA1_KA2			1	4	Putative satellites (low confidence)	489	0.11	6.879245283018868	3.9	0.0	20.94
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL116_TR_1_x_376nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	1	Putative satellites (high confidence)	376	0.14	3.145833333333333	2.7	0.0	6.480000000000001
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	1	Putative satellites (high confidence)	118	2.38	9.491008403361343	8.75	3.1	18.1
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL96_TR_1_x_333nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	1	Putative satellites (high confidence)	333	0.12	7.761290322580645	7.4	2.7100000000000004	14.77
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=2|ORIG=CL103_TR_1_x_74nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	2	Putative satellites (low confidence)	74	0.21	6.599065420560748	6.1	0.0	15.839999999999998
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=2|ORIG=CL104_TR_1_x_663nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	2	Putative satellites (low confidence)	663	0.14	7.001408450704226	6.0	0.35	22.75
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=2|ORIG=CL133_TR_1_x_337nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	2	Putative satellites (low confidence)	337	0.09	8.244444444444444	7.3	2.72	16.899999999999988
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=2|ORIG=CL154_TR_1_x_90nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	2	Putative satellites (low confidence)	90	0.11	9.329629629629627	7.7	0.0	24.335
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=2|ORIG=CL58_TR_1_x_504nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	2	Putative satellites (low confidence)	504	0.37	10.897814207650272	8.1	2.21	27.080000000000005
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=3|ORIG=CL35_TR_1_x_553nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	3	Putative satellites (low confidence)	553	0.54	11.604832713754648	11.4	2.64	21.92
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=4|ORIG=CL121_TR_1_x_434nt	comparative	KA2_KA3	projects/triticeae_F21FTSEUHT1241/comparative/KA2_KA3/post_tarean/satminer/report/rich_table.tsv	KA2_KA3			1	4	Putative satellites (low confidence)	434	0.12	8.030508474576271	5.3	0.98	19.01
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=1|ORIG=CL195_TR_1_x_371nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	1	Putative satellites (high confidence)	371	0.01	4.314285714285714	3.4	1.3	7.889999999999998
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=1|ORIG=CL5_TR_1_x_118nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	1	Putative satellites (high confidence)	118	0.86	7.946386946386946	7.3	2.34	15.4
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL103_TR_1_x_74nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	74	0.17	8.583529411764706	8.1	2.9	16.279999999999998
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL116_TR_1_x_337nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	337	0.12	8.808064516129033	8.350000000000001	3.02	16.374999999999996
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL146_TR_1_x_171nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	171	0.08	8.888095238095238	7.5	2.7	19.675
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL172_TR_1_x_247nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	247	0.06	6.421875	4.300000000000001	0.0	17.27
SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL192_TR_1_x_31nt	sample	KA1	projects/triticeae_F21FTSEUHT1241/samples/KA1/post_tarean/satminer/report/rich_table.tsv	KA1	Aegilops_bicoris		1	2	Putative satellites (low confidence)	31	0.07	3.32972972972973	3.3	0.0	7.459999999999988
