qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	task	db
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|comparative|KA2_KA3|SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	100.0	118	0	0	1	118	1	118	3.34e-60	219.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	108	0	0	1	108	108	1	1.2099999999999998e-54	200.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA5|SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	99.048	105	1	0	14	118	118	14	2.62e-51	189.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	100	0	0	19	118	118	19	3.38e-50	185.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL35_TR_1_x_118nt	99.029	103	1	0	1	103	103	1	3.38e-50	185.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA5|SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL45_TR_1_x_118nt	98.095	105	2	0	14	118	118	14	1.22e-49	183.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	99.01	101	1	0	1	101	18	118	4.38e-49	182.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	98.851	87	1	0	1	87	32	118	2.65e-41	156.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	31	0	0	88	118	1	31	7.7e-12	58.4	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|comparative|KA1_KA2|SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	81	0	0	38	118	118	38	1.23e-39	150.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=1|ORIG=CL12_TR_1_x_118nt	98.684	76	1	0	1	76	43	118	3.46e-35	135.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=1|ORIG=CL12_TR_1_x_118nt	100.0	42	0	0	77	118	1	42	5.91e-18	78.7	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	67	0	0	52	118	118	52	7.480000000000001e-32	124.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	51	0	0	1	51	51	1	5.869999999999999e-23	95.3	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	64	0	0	1	64	64	1	3.48e-30	119.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	54	0	0	65	118	118	65	1.26e-24	100.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	97.015	67	2	0	52	118	118	52	1.62e-28	113.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	51	0	0	1	51	51	1	5.869999999999999e-23	95.3	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=1|ORIG=CL5_TR_1_x_118nt	96.825	63	2	0	1	63	63	1	2.7100000000000004e-26	106.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=1|ORIG=CL5_TR_1_x_118nt	100.0	55	0	0	64	118	118	64	3.51e-25	102.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	95.238	63	3	0	1	63	63	1	1.26e-24	100.0	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	98.182	55	1	0	64	118	118	64	1.6299999999999997e-23	97.1	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	97.778	45	1	0	74	118	1	45	5.91e-18	78.7	118	118	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=3|ORIG=CL35_TR_1_x_553nt	triticeae_F21FTSEUHT1241|comparative|KA2_KA3|SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=3|ORIG=CL35_TR_1_x_553nt	100.0	553	0	0	1	553	1	553	0.0	1022.0	553	553	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=3|ORIG=CL35_TR_1_x_553nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=3|ORIG=CL25_TR_1_x_551nt	99.093	551	3	1	3	553	3	551	0.0	989.0	553	551	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=3|ORIG=CL35_TR_1_x_553nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL68_TR_1_x_582nt	96.727	275	9	0	269	543	1	275	9.25e-132	459.0	553	582	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=3|ORIG=CL35_TR_1_x_553nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=2|ORIG=CL68_TR_1_x_582nt	97.378	267	6	1	1	267	317	582	4.31e-130	453.0	553	582	megablast	local
SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=3|ORIG=CL35_TR_1_x_553nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL25_TR_1_x_580nt	94.845	291	14	1	35	324	290	580	4.31e-130	453.0	553	580	megablast	local
