qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	task	db
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	118	0	0	1	118	1	118	3.34e-60	219.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL35_TR_1_x_118nt	99.115	113	1	0	6	118	1	113	9.340000000000001e-56	204.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	99.099	111	1	0	8	118	118	8	1.2099999999999998e-54	200.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|comparative|KA2_KA3|SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL3_TR_1_x_118nt	100.0	108	0	0	1	108	108	1	1.2099999999999998e-54	200.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	98.969	97	1	0	22	118	118	22	7.330000000000001e-47	174.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA5|SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	98.947	95	1	0	1	95	24	118	9.48e-46	171.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	90	0	0	1	90	29	118	1.23e-44	167.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA4|SMPL=KA4|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	28	0	0	91	118	1	28	3.58e-10	52.8	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA5|SMPL=KA5|ORG=Aegilops_caudata_markgrafii|GENOMES=None|ITER=1|RANK=1|ORIG=CL45_TR_1_x_118nt	97.895	95	2	0	1	95	24	118	4.41e-44	165.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=1|ORIG=CL12_TR_1_x_118nt	98.837	86	1	0	33	118	118	33	9.539999999999999e-41	154.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=1|ORIG=CL12_TR_1_x_118nt	100.0	32	0	0	1	32	32	1	2.14e-12	60.2	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	74	0	0	45	118	1	74	9.61e-36	137.0	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=3|RANK=1|ORIG=CL1_TR_1_x_118nt	100.0	44	0	0	1	44	75	118	4.57e-19	82.4	118	118	megablast	local
SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=2|RANK=1|ORIG=CL1_TR_1_x_118nt	96.386	83	3	0	36	118	118	36	9.61e-36	137.0	118	118	megablast	local
