cluster_id	n_repeats	best_evalue	best_bitscore	best_pident	best_sseqid	best_accession	best_title	best_species	best_name	best_hit	oligo_best_sseqid	oligo_best_pident	oligo_best_length	oligo_best_evalue	oligo_best_bitscore	oligo_best_scov	oligo_fitting	oligo_hits_topN
CL00001	20	1.92e-56	215.0	96.183	ref|AJ517288.3|	AJ517288.3	Hordeum bulbosum satellite DNA, p147-3711	Hordeum bulbosum		AJ517288.3	P351_0	93.277	119.0	1.6099999999999998e-45	172.0	0.945868945868946	oligo	P351_0|fit=oligo|pident=93.3|len=119|scov=0.946|e=1.6e-45;1987_Lapitan_Genomic_and_Phylogenetic_Relationships_pSc119.2|fit=oligo|pident=87.0|len=131|scov=0.911|e=3.4e-31;1999_Uslu_Characterization_of_Dasypyrum_Villosum_(L.)_Candargy.pdf_pSc119.2|fit=oligo|pident=87.0|len=131|scov=0.911|e=3.4e-31;2003_Brasiliero-Vidal_Chromosome_characterization_in_Thinopyrum_pSc119.2|fit=oligo|pident=87.0|len=131|scov=0.911|e=3.4e-31;2011_Georgieva_Molecular_cytogenetic_characterization_pSc119.2|fit=oligo|pident=87.0|len=131|scov=0.911|e=3.4e-31;2012_Grosso_Flow_Sorting_and_Molecular_Cytogenetic_pSc119.2|fit=oligo|pident=87.0|len=131|scov=0.911|e=3.4e-31;2012_Linc_A_FISH_Karyotype_to_Study_Chromosome_pSc119.2|fit=oligo|pident=87.0|len=131|scov=0.911|e=3.4e-31;2012_Tomas_Chromosomal_characterization_in_native_pSc119.2|fit=oligo|pident=87.0|len=131|scov=0.911|e=3.4e-31;2013_Zhang_Distribution_Of_Highly_Repeated.pdf_pSc119.2|fit=oligo|pident=87.0|len=131|scov=0.911|e=3.4e-31;2015_Salina_A_Thinopyrum_intermedium_chromosome_pSc119.2|fit=oligo|pident=87.0|len=131|scov=0.911|e=3.4e-31
CL00002	7	4.83e-151	531.0	94.985	ref|KC290893.1|	KC290893.1	Triticum aestivum clone pTa-173 FISH-positive repetitive sequence	Triticum aestivum		KC290893.1	AC4x_CL3_339nt	95.094	265.0	6.89e-118	414.0	0.9292035398230089	oligo	AC4x_CL3_339nt|fit=oligo|pident=95.1|len=265|scov=0.929|e=6.9e-118;P335|fit=oligo|pident=93.6|len=218|scov=1.000|e=1.1e-82;2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P720|fit=oligo|pident=88.6|len=264|scov=0.949|e=6.1e-72;P720|fit=oligo|pident=88.6|len=264|scov=0.949|e=6.1e-72;2019_Liu_Development_and_Application_of_Transposable_S5|fit=oligo|pident=95.0|len=119|scov=0.944|e=1.8e-47;2019_Badaeva_Molecular-cytogenetic_analysis_of_diploid_wheatgrass_pAs1-1|fit=oligo|pident=98.3|len=59|scov=1.000|e=5.5e-26;2003_Brasiliero-Vidal_Chromosome_characterization_in_Thinopyrum_pAs1|fit=oligo|pident=98.2|len=56|scov=0.966|e=3.4e-24;2006_Zheng_Physical_mapping_pAs1|fit=oligo|pident=98.2|len=56|scov=0.966|e=3.4e-24;2010_Badaeva_Fat_element-a_new_marker_for_chromosom_pAs1|fit=oligo|pident=98.2|len=56|scov=0.966|e=3.4e-24;2010_Wang_Analysis_of_chromosomal_structural_pAs1|fit=oligo|pident=98.2|len=56|scov=0.966|e=3.4e-24
CL00003	7	3.75e-73	266.0	90.171	AC4x_CL228_312nt	AC4x_CL228_312nt				AC4x_CL228_312nt	AC4x_CL228_312nt	90.171	234.0	3.75e-73	266.0	0.9967948717948718	oligo	AC4x_CL228_312nt|fit=oligo|pident=90.2|len=234|scov=0.997|e=3.8e-73;P321|fit=oligo|pident=95.0|len=160|scov=0.981|e=3.5e-67;Oligo-1AS|fit=weak|pident=100.0|len=18|scov=0.189|e=0.00063;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL80|fit=weak|pident=88.9|len=27|scov=0.246|e=0.039;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL215|fit=weak|pident=94.1|len=17|scov=0.117|e=0.6;AC4x_CL258_1307nt|fit=weak|pident=94.1|len=17|scov=0.117|e=0.6;17-62|fit=weak|pident=100.0|len=12|scov=0.125|e=2.4;19-202|fit=weak|pident=100.0|len=12|scov=0.225|e=2.4;1992_De_Pace_Molecular_and_chromosomal_characterization.pdf_p380|fit=weak|pident=100.0|len=12|scov=0.189|e=2.4;1994_Frediani_Redundancy_Modulation.pdf_396-bp_repeat|fit=weak|pident=100.0|len=12|scov=0.189|e=2.4
CL00004	5	1.18e-137	486.0	96.013	ref|AY117401.1|	AY117401.1	Aegilops speltoides subtelomeric repeat Spelt52.2 sequence	Aegilops speltoides		AY117401.1	17-251	96.543	376.0	0.0	642.0	1.0	oligo	17-251|fit=oligo|pident=96.5|len=376|scov=1.000|e=0;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL244|fit=oligo|pident=97.6|len=247|scov=1.000|e=3.4e-126;AC4x_CL244_376nt|fit=oligo|pident=97.6|len=247|scov=1.000|e=3.4e-126;2020_Nikitina_Development_of_Specific_Thinopyrum_17-251|fit=oligo|pident=96.3|len=215|scov=1.000|e=2.5e-102;2021_Yu_Karyotyping_Dasypyrum_breviaristatum_chromosomes_oligo-Td25|fit=oligo|pident=98.0|len=49|scov=1.000|e=5.6e-20;2019_Chen_Cytological_and_molecular_characterization_BSCL1|fit=oligo|pident=100.0|len=39|scov=0.975|e=2.1e-16;BSCL1-1|fit=oligo|pident=100.0|len=39|scov=0.975|e=2.1e-16;BSCL1-2|fit=oligo|pident=97.3|len=37|scov=1.000|e=8.2e-13;2017_Du_Development_of_oligonucleotides_a_DP4J27982|fit=oligo|pident=96.8|len=31|scov=1.000|e=3.1e-09;2017_Du_Development_of_oligonucleotides_a_DP4J28086|fit=oligo|pident=96.8|len=31|scov=1.000|e=3.1e-09
CL00005	5	3.09e-19	91.5	78.07	ref|HM536202.1|	HM536202.1	Hordeum vulgare clone pHv-365 repeat region	Hordeum vulgare		HM536202.1	Oligo-119	93.333	60.0	1.53e-17	79.8	0.8487394957983193	oligo	Oligo-119|fit=oligo|pident=93.3|len=60|scov=0.849|e=1.5e-17;P120|fit=weak|pident=88.4|len=43|scov=0.758|e=2.1e-07;2021_Yu_Karyotyping_Dasypyrum_breviaristatum_chromosomes_oligo-Td9|fit=weak|pident=90.5|len=21|scov=0.759|e=0.2;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL80|fit=weak|pident=100.0|len=12|scov=0.144|e=0.79;17-202|fit=weak|pident=100.0|len=11|scov=0.157|e=3.1;2017_Han_Isolation_And_Application_pAcP43|fit=weak|pident=100.0|len=11|scov=0.077|e=3.1;2017_Han_Isolation_And_Application_pAcPR9|fit=weak|pident=100.0|len=11|scov=0.122|e=3.1;2020_Nikitina_Development_of_Specific_Thinopyrum_17-202|fit=weak|pident=100.0|len=11|scov=0.052|e=3.1;2021_Wu_Characterization_of_Each_St_and_Y_Genome_StY_107|fit=weak|pident=100.0|len=11|scov=0.080|e=3.1;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL198|fit=weak|pident=100.0|len=11|scov=0.065|e=3.1
CL00006	5	0.0	843.0	89.608	ref|MG323513.1|	MG323513.1	Agropyron cristatum clone ACRI_TR_CL80 satellite sequence	Agropyron cristatum		MG323513.1	17-172	97.436	663.0	0.0	1172.0	0.9964753272910372	oligo	17-172|fit=oligo|pident=97.4|len=663|scov=0.996|e=0;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL148|fit=oligo|pident=97.5|len=644|scov=1.000|e=0;TB_CL148_662nt|fit=oligo|pident=97.5|len=644|scov=1.000|e=0;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL80|fit=weak|pident=89.6|len=664|scov=0.585|e=0;Oligo-1AS|fit=weak|pident=83.9|len=93|scov=0.333|e=1.5e-12;P321|fit=weak|pident=90.9|len=22|scov=0.312|e=0.32;1987_Lapitan_Genomic_and_Phylogenetic_Relationships_pSc119.2|fit=weak|pident=100.0|len=13|scov=0.063|e=1.3;1990_Zhang_Characterization_and_distribution_pLe2|fit=weak|pident=100.0|len=13|scov=0.267|e=1.3;1999_Uslu_Characterization_of_Dasypyrum_Villosum_(L.)_Candargy.pdf_pSc119.2|fit=weak|pident=100.0|len=13|scov=0.063|e=1.3;2003_Brasiliero-Vidal_Chromosome_characterization_in_Thinopyrum_pSc119.2|fit=weak|pident=100.0|len=13|scov=0.063|e=1.3
CL00007	4	0.0	758.0	95.772	ref|AY249986.1|	AY249986.1	Aegilops tauschii clone 4P6-9 tandem repeat sequence	Aegilops tauschii		AY249986.1	P369	98.922	371.0	0.0	698.0	1.0	oligo	P369|fit=oligo|pident=98.9|len=371|scov=1.000|e=0;AC4x_CL170_369nt|fit=oligo|pident=98.7|len=371|scov=1.000|e=0;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL170|fit=oligo|pident=96.8|len=371|scov=1.000|e=0;2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P170|fit=oligo|pident=95.2|len=229|scov=1.000|e=2e-103;P170|fit=oligo|pident=95.2|len=229|scov=1.000|e=2e-103;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL78|fit=oligo|pident=83.9|len=473|scov=0.970|e=4.4e-92;2021_Yu_Karyotyping_Dasypyrum_breviaristatum_chromosomes_oligo-1D1|fit=oligo|pident=98.1|len=54|scov=1.000|e=7.4e-23;2021_Wu_Characterization_of_Each_St_and_Y_Genome_StY_34|fit=weak|pident=89.5|len=38|scov=0.190|e=3.8e-06;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL215|fit=weak|pident=93.8|len=16|scov=0.140|e=3.5;2015_Han_Degenerate_Oligonucleotide_pAcPR1|fit=weak|pident=89.5|len=19|scov=0.108|e=14
CL00008	4	1.66e-79	292.0	90.435	ref|AH012974.2|	AH012974.2	Aegilops tauschii strain TA1649 transposon putative Ty3-gypsy-type retroelement, complete sequence; Lr21 gene, complete cds; transposon putative gypsy-type retroelement, complete sequence; putative GAG-POL precursor, gene, complete cds; and unknown genes	Aegilops tauschii		AH012974.2	2019_Wang_Diversified_Chromosome_Rearrangements_oligo-k566_by_Tang_et_al._(2014)	95.0	60.0	4.07e-20	87.7	1.0	oligo	2019_Wang_Diversified_Chromosome_Rearrangements_oligo-k566_by_Tang_et_al._(2014)|fit=oligo|pident=95.0|len=60|scov=1.000|e=4.1e-20;2021_Yu_Karyotyping_Dasypyrum_breviaristatum_chromosomes_oligo-k566|fit=oligo|pident=95.0|len=60|scov=1.000|e=4.1e-20;2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P332|fit=oligo|pident=91.9|len=37|scov=1.000|e=8.9e-09;P332|fit=oligo|pident=91.9|len=37|scov=1.000|e=8.9e-09;P143|fit=weak|pident=92.5|len=40|scov=0.713|e=1.4e-10;2021_Wu_Characterization_of_Each_St_and_Y_Genome_StY_93|fit=weak|pident=90.0|len=40|scov=0.556|e=3.5e-08;AC4x_CL258_1307nt|fit=weak|pident=93.3|len=15|scov=0.066|e=2;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL80|fit=weak|pident=100.0|len=11|scov=0.063|e=2;2010_Wu_Cloning_And_Characterization_pAx11|fit=weak|pident=100.0|len=10|scov=0.098|e=7.9;2017_Han_Isolation_And_Application_pAcPR2|fit=weak|pident=100.0|len=10|scov=0.066|e=7.9
CL00009	4	0.0	904.0	96.947	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL8	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL8				2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL8	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL8	96.947	524.0	0.0	904.0	1.0	oligo	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL8|fit=oligo|pident=96.9|len=524|scov=1.000|e=0;AC4x_CL8_584nt|fit=oligo|pident=96.9|len=524|scov=1.000|e=0;2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL16|fit=oligo|pident=96.1|len=515|scov=1.000|e=0;2017_Han_Isolation_And_Application_pAcP43|fit=weak|pident=100.0|len=13|scov=0.040|e=1.6;2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL80|fit=weak|pident=90.0|len=20|scov=0.053|e=6.1;2015_Ye_The_Effects_Of_Chromosome_6P_pAcCR1|fit=weak|pident=100.0|len=12|scov=0.045|e=6.1;2017_Han_Isolation_And_Application_pAcCR1|fit=weak|pident=100.0|len=12|scov=0.045|e=6.1;2022_Wang_Introgression_of_chromosome_1P_from_Agropyron_cristatum_pAcCR1|fit=weak|pident=100.0|len=12|scov=0.045|e=6.1;2011_Tang_A_new_long_terminal_repeat_pMD232-500|fit=weak|pident=100.0|len=11|scov=0.059|e=24;2017_Han_Isolation_And_Application_pAcTRT1|fit=weak|pident=100.0|len=11|scov=0.011|e=24
CL00010	4	8.51e-93	339.0	75.472	ref|KC290912.1|	KC290912.1	Triticum aestivum clone pTa-451 FISH-positive repetitive sequence	Triticum aestivum		KC290912.1	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL18	99.317	293.0	5.660000000000001e-163	565.0	1.0	oligo	2022_Kroupin_Aegilops_crassa_Boiss._repeatome_characterized_CL18|fit=oligo|pident=99.3|len=293|scov=1.000|e=5.7e-163;AC4x_CL18_487nt|fit=oligo|pident=99.3|len=293|scov=1.000|e=5.7e-163;P501|fit=oligo|pident=91.3|len=355|scov=0.984|e=8.2e-119;FAT|fit=oligo|pident=86.6|len=337|scov=1.008|e=3.2e-81;P631|fit=weak|pident=84.7|len=118|scov=0.590|e=2.4e-20;2010_Badaeva_Fat_element-a_new_marker_for_chromosom_Fat|fit=weak|pident=100.0|len=18|scov=0.458|e=0.001;2017_Linc_Molecular_cytogenetic_(FISH)_Fat|fit=weak|pident=100.0|len=18|scov=0.458|e=0.001;AC4x_CL3_339nt|fit=weak|pident=95.2|len=21|scov=0.212|e=0.005;P335|fit=weak|pident=95.2|len=21|scov=0.197|e=0.005;P523|fit=weak|pident=95.2|len=21|scov=0.194|e=0.005
