evalue	bitscore	pident	length	qlen	slen	q_union	s_union	qcov	scov	coverage	coverage_type	qseqid	sseqid	task	db	task_used
57.0	18.3	100.0	9.0	131.0	662.0	38	114	0.2900763358778626	0.17220543806646527	0.2900763358778626	weak	CL00001	17-172	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	553.0	30	87	0.22900763358778625	0.15732368896925858	0.22900763358778625	weak	CL00001	17-202	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	1128.0	48	141	0.366412213740458	0.125	0.366412213740458	weak	CL00001	17-251	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	1602.0	60	225	0.4580152671755725	0.1404494382022472	0.4580152671755725	weak	CL00001	17-62	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	333.0	50	120	0.3816793893129771	0.36036036036036034	0.3816793893129771	weak	CL00001	18-158	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	1140.0	21	63	0.16030534351145037	0.05526315789473684	0.16030534351145037	weak	CL00001	19-202	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	1987_Lapitan_Genomic_and_Phylogenetic_Relationships_pSc119.2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	1375.0	28	28	0.21374045801526717	0.020363636363636365	0.21374045801526717	weak	CL00001	1988_McIntyre_Amplification_and_dispersion_of_repeated_1.4_kb_family	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	620.0	56	51	0.42748091603053434	0.08225806451612903	0.42748091603053434	weak	CL00001	1988_Xin-Appels_Occurrence_of_rye_(Secale_cereale)_350-family_repeat	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	277.0	14	14	0.10687022900763359	0.05054151624548736	0.10687022900763359	weak	CL00001	1990_Zhang_Characterization_and_distribution_pLe2	blastn-short	oligo	blastn-short
