evalue	bitscore	pident	length	qlen	slen	q_union	s_union	qcov	scov	coverage	coverage_type	qseqid	sseqid	task	db
0.0	679.0	100.0	376.0	376.0	376.0	376	376	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	triticeae_F21FTSEUHT1241|comparative|KA1_KA2|SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	dc-megablast	local
0.0	695.0	100.0	376.0	376.0	376.0	376	376	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	triticeae_F21FTSEUHT1241|comparative|KA1_KA2|SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	megablast	local
5.900000000000002e-144	499.0	99.642	279.0	376.0	376.0	376	376	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL68_TR_1_x_376nt	dc-megablast	local
1.7e-147	510.0	99.642	279.0	376.0	376.0	376	376	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=1|ORIG=CL68_TR_1_x_376nt	megablast	local
9.98e-154	532.0	99.007	302.0	376.0	376.0	376	376	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL2_TR_1_x_376nt	dc-megablast	local
6.03e-157	542.0	99.007	302.0	376.0	376.0	376	376	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=2|RANK=1|ORIG=CL2_TR_1_x_376nt	megablast	local
3.06e-122	426.0	98.374	246.0	376.0	376.0	376	376	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL2_TR_1_x_376nt	dc-megablast	local
3.79e-124	433.0	98.374	246.0	376.0	376.0	376	376	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL103_TR_1_x_376nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=3|RANK=1|ORIG=CL2_TR_1_x_376nt	megablast	local
1.3999999999999999e-176	607.0	100.0	336.0	336.0	336.0	336	336	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	triticeae_F21FTSEUHT1241|comparative|KA1_KA2|SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	dc-megablast	local
0.0	621.0	100.0	336.0	336.0	336.0	336	336	1.0	1.0	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	triticeae_F21FTSEUHT1241|comparative|KA1_KA2|SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	megablast	local
2.54e-135	470.0	97.143	280.0	336.0	337.0	336	336	1.0	0.9970326409495549	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	triticeae_F21FTSEUHT1241|comparative|KA2_KA3|SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=2|ORIG=CL133_TR_1_x_337nt	dc-megablast	local
1.98e-136	473.0	97.143	280.0	336.0	337.0	336	336	1.0	0.9970326409495549	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	triticeae_F21FTSEUHT1241|comparative|KA2_KA3|SMPL=KA2_KA3|ORG=None|GENOMES=None|ITER=1|RANK=2|ORIG=CL133_TR_1_x_337nt	megablast	local
1.01e-165	571.0	97.619	336.0	336.0	337.0	336	336	1.0	0.9970326409495549	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL116_TR_1_x_337nt	dc-megablast	local
1.4700000000000001e-167	577.0	97.619	336.0	336.0	337.0	336	336	1.0	0.9970326409495549	1.0	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	triticeae_F21FTSEUHT1241|sample|KA1|SMPL=KA1|ORG=Aegilops_bicoris|GENOMES=None|ITER=1|RANK=2|ORIG=CL116_TR_1_x_337nt	megablast	local
2.72e-122	427.0	93.907	279.0	336.0	326.0	323	323	0.9613095238095238	0.99079754601227	0.99079754601227	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL173_TR_1_x_326nt	dc-megablast	local
7.29e-121	422.0	93.907	279.0	336.0	326.0	323	323	0.9613095238095238	0.99079754601227	0.99079754601227	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	triticeae_F21FTSEUHT1241|sample|KA2|SMPL=KA2|ORG=Aegilops_sharonesis|GENOMES=None|ITER=1|RANK=2|ORIG=CL173_TR_1_x_326nt	megablast	local
1.01e-108	382.0	90.942	276.0	336.0	338.0	333	334	0.9910714285714286	0.9881656804733728	0.9910714285714286	near-full	SMPL=KA1_KA2|ORG=None|GENOMES=None|ITER=1|RANK=1|ORIG=CL121_TR_1_x_336nt	triticeae_F21FTSEUHT1241|sample|KA3|SMPL=KA3|ORG=Aegilops_kotschyi|GENOMES=None|ITER=1|RANK=2|ORIG=CL130_TR_1_x_338nt	dc-megablast	local
